,Country,Location,Attendance_Numbers,Visitor_Demographics,Economic_Impact,Music_Genre,Economic_Impact_EUR
68, Belgium,30000,26500, Dark and Electronic Fans,€15 million,Dark/Electronic,15000000.0
70, Spain,25000,42500, Classical and Jazz Fans,€12 million,Classical/Jazz,12000000.0
71, UK,35000,26500, Indie and Rock Fans,£15 million,Indie/Rock,15000000.0
72, UK,40000,42500, Folk and Celtic Music Fans,£20 million,Folk/Celtic,20000000.0
75, Hungary,20000,42500, Classical Music Fans,€15 million,Classical,15000000.0
76, Ireland,50000,29000, Indie and Electronic Fans,€30 million,Indie/Electronic,30000000.0
79, Croatia,45000,24000, EDM and Beach Fans,€25 million,EDM,25000000.0
88, Italy,35000,26500, Classical and Opera Fans,€20 million,Classical/Opera,20000000.0
89, Portugal,30000,26500, Fado and Pop Fans,€15 million,Fado/Pop,15000000.0
90, Austria,25000,29000, Classical and Electronic Fans,€12 million,Classical/Electronic,12000000.0
118, Finland,25000,26500, Folk Metal Fans,€12 million,Folk Metal,12000000.0
123, Malta,15000,26500, EDM and Pop Fans,€8 million,EDM/Pop,8000000.0
124, Latvia,10000,26500, Rock and Folk Fans,€5 million,Rock/Folk,5000000.0
125, Estonia,15000,29000, Electronic and Indie Fans,€7 million,Electronic/Indie,7000000.0
126, Lithuania,20000,26500, Rock and Jazz Fans,€10 million,Rock/Jazz,10000000.0
128, Cyprus,10000,26500, Pop and Rock Fans,€4 million,Pop/Rock,4000000.0
129, Slovakia,15000,29000, Rock and Electronic Fans,€7 million,Rock/Electronic,7000000.0
130, Slovenia,18000,26500, Alternative and Indie Fans,€9 million,Alternative/Indie,9000000.0
131, Croatia,25000,26500, Rock and EDM Fans,€12 million,Rock/EDM,12000000.0
132, Portugal,30000,26500, Fado and Indie Fans,€15 million,Fado/Indie,15000000.0
136, Albania,10000,26500, Rock and Pop Fans,€5 million,Rock/Pop,5000000.0
137, Kosovo,12000,26500, Electronic and Indie Fans,€6 million,Electronic/Indie,6000000.0
138, Montenegro,10000,29000, Rock and Jazz Fans,€5 million,Rock/Jazz,5000000.0
167, Andorra,8000,26500, Rock and Electronic Fans,€4 million,Rock/Electronic,4000000.0
168, San Marino,10000,26500, Pop and Jazz Fans,€5 million,Pop/Jazz,5000000.0
170, Monaco,12000,29000, Jazz and Electronic Fans,€6 million,Jazz/Electronic,6000000.0
171, Vatican City,5000,39000, Classical and Choral Fans,€2 million,Classical/Choral,2000000.0
